Number_of_announcements,Number_of_withdrawals,Number_of_announced_NLRI_prefixes,Number_of_withdrawn_NLRI_prefixes,Average_AS_path_length,Average_unique_AS_path_length,Maximum_edit_distance,Maximum_AS_path_length,Number_of_incomplete_packets,Labels
82,7,144,184,6,6,1.4,13,10,CodeRed1
164,7,783,187,7,7,2.8,15,24,CodeRed1
142,6,332,17,6,6,2.4,12,20,CodeRed1
54,3,121,8,6,6,0.9,11,11,CodeRed1
51,3,86,4,6,6,0.9,7,13,CodeRed1
55,4,105,15,6,6,0.9,9,9,CodeRed1
53,3,1053,20,5,6,0.9,8,9,CodeRed1
60,7,530,24,5,5,1.1,10,7,CodeRed1
436,6,1235,83,6,6,7.3,15,44,CodeRed1
197,8,510,33,7,8,3.4,16,17,CodeRed1
103,6,210,63,6,6,1.8,9,8,CodeRed1
97,6,183,47,6,6,1.7,10,7,CodeRed1
75,5,135,21,6,6,1.3,10,10,CodeRed1
69,6,107,15,6,6,1.2,11,13,CodeRed1
88,4,145,18,6,6,1.5,9,13,CodeRed1
57,6,73,20,6,6,1,14,4,CodeRed1
110,3,342,21,6,6,1.8,14,10,CodeRed1
59,6,923,43,6,6,1,11,8,CodeRed1
360,9,7356,397,5,5,6.1,10,14,CodeRed1
480,9,1199,105,6,6,8.1,13,35,CodeRed1
424,8,1110,120,6,6,7.2,14,42,CodeRed1
285,8,1218,47,6,6,4.8,14,35,CodeRed1
608,11,3141,490,5,6,10,13,78,CodeRed1
285,8,833,182,6,6,4.8,12,41,CodeRed1
392,8,1595,120,6,6,6.6,14,48,CodeRed1
319,8,1226,258,6,6,5.4,11,27,CodeRed1
274,8,1258,106,5,6,4.7,11,20,CodeRed1
469,12,2530,318,6,6,8,13,62,CodeRed1
153,6,410,40,6,6,2.6,12,32,CodeRed1
290,45,4749,4593,6,6,5.5,15,36,CodeRed1
318,21,1160,1772,6,6,5.6,13,21,CodeRed1
325,6,1330,30,6,6,5.5,13,51,CodeRed1
243,7,1426,52,6,6,4.1,11,33,CodeRed1
201,44,986,4561,6,6,4,13,29,CodeRed1
135,8,2710,300,7,7,2.3,15,25,CodeRed1
109,8,2152,253,7,7,1.9,15,2,CodeRed1
72,11,127,937,7,7,1.3,15,7,CodeRed1
94,6,220,13,6,6,1.6,16,16,CodeRed1
63,7,89,18,6,6,1.1,17,14,CodeRed1
37,6,63,31,6,6,0.7,14,8,CodeRed1
284,7,2404,23,7,7,4.8,13,89,CodeRed1
283,9,2083,449,7,7,4.8,16,73,CodeRed1
250,5,1405,38,6,6,4.2,17,49,CodeRed1
93,5,219,76,7,7,1.6,19,7,CodeRed1
176,8,389,135,6,6,3,16,18,CodeRed1
89,6,171,67,7,7,1.5,13,8,CodeRed1
75,5,141,73,7,7,1.3,11,3,CodeRed1
81,4,126,33,6,6,1.4,11,10,CodeRed1
122,7,287,27,6,6,2.1,12,10,CodeRed1
104,7,307,41,6,6,1.8,16,13,CodeRed1
56,5,146,28,6,6,1,12,7,CodeRed1
86,7,165,18,5,6,1.5,12,12,CodeRed1
88,4,161,21,6,6,1.5,13,8,CodeRed1
96,7,150,35,6,6,1.7,10,6,CodeRed1
122,6,234,105,6,6,2.1,19,16,CodeRed1
130,10,278,119,7,7,2.3,17,10,CodeRed1
77,6,152,131,6,6,1.3,16,6,CodeRed1
67,6,130,50,6,6,1.2,16,5,CodeRed1
79,5,143,23,6,6,1.4,17,8,CodeRed1
128,7,259,35,6,6,2.2,17,12,CodeRed1
52,4,120,23,5,5,0.9,9,4,CodeRed1
145,7,430,13,6,6,2.5,17,12,CodeRed1
76,8,190,17,7,7,1.4,19,3,CodeRed1
104,7,265,48,6,6,1.8,10,13,CodeRed1
95,5,221,81,6,6,1.6,11,17,CodeRed1
65,7,117,50,6,6,1.2,11,9,CodeRed1
104,6,184,57,6,6,1.8,13,23,CodeRed1
81,8,153,23,7,6,1.4,14,9,CodeRed1
74,6,148,35,6,6,1.3,13,7,CodeRed1
72,8,130,30,6,6,1.3,11,7,CodeRed1
83,5,211,29,6,6,1.4,12,12,CodeRed1
86,6,172,36,6,6,1.5,12,24,CodeRed1
97,5,231,47,6,6,1.7,11,13,CodeRed1
121,4,325,17,6,6,2,15,19,CodeRed1
90,8,152,23,6,6,1.6,15,13,CodeRed1
85,7,137,28,6,7,1.5,14,15,CodeRed1
101,7,198,38,6,6,1.8,13,14,CodeRed1
100,7,215,57,6,6,1.7,12,13,CodeRed1
108,8,185,51,6,6,1.9,11,28,CodeRed1
49,6,106,25,6,6,0.9,10,1,CodeRed1
94,6,307,53,6,6,1.6,13,5,CodeRed1
97,7,266,34,6,6,1.7,13,8,CodeRed1
79,6,162,41,7,7,1.4,12,12,CodeRed1
60,7,111,89,6,6,1.1,11,7,CodeRed1
114,7,272,40,6,6,2,15,15,CodeRed1
96,7,289,30,6,6,1.7,12,12,CodeRed1
86,6,206,32,6,6,1.5,13,7,CodeRed1
82,6,171,77,6,6,1.4,12,15,CodeRed1
66,8,165,29,6,6,1.2,14,6,CodeRed1
49,3,89,12,6,6,0.8,13,7,CodeRed1
76,6,135,29,5,6,1.3,11,23,CodeRed1
52,6,185,15,5,5,0.9,11,6,CodeRed1
80,5,321,20,6,6,1.4,14,13,CodeRed1
172,6,1138,30,6,6,2.9,9,19,CodeRed1
288,6,1501,31,6,6,4.9,13,35,CodeRed1
321,8,918,259,8,8,5.4,17,44,CodeRed1
228,5,668,25,6,6,3.8,15,29,CodeRed1
142,5,599,22,6,6,2.4,10,19,CodeRed1
228,6,950,60,7,7,3.9,14,21,CodeRed1
342,5,2819,31,7,7,5.7,12,9,CodeRed1
738,10,5778,429,6,6,12,10,81,CodeRed1
362,6,1755,21,7,7,6.1,14,15,CodeRed1
482,8,2065,276,7,7,8.1,13,37,CodeRed1
788,9,5268,256,7,7,13,14,70,CodeRed1
261,6,1427,31,6,6,4.4,17,17,CodeRed1
132,7,396,53,7,7,2.3,18,24,CodeRed1
135,8,387,27,6,7,2.3,15,29,CodeRed1
97,5,173,56,6,6,1.7,15,18,CodeRed1
114,8,232,61,6,6,2,16,19,CodeRed1
110,7,307,135,6,6,1.9,12,14,CodeRed1
119,8,479,93,6,6,2.1,11,17,CodeRed1
94,7,368,66,6,6,1.6,12,16,CodeRed1
176,30,1443,3075,8,8,3.4,11,7,CodeRed1
599,7,6426,128,7,7,10,14,15,CodeRed1
132,9,251,363,6,6,2.3,11,31,CodeRed1
105,7,271,380,6,6,1.8,12,20,CodeRed1
76,10,193,345,6,6,1.4,12,15,CodeRed1
74,10,121,543,7,7,1.4,13,13,CodeRed1
124,20,280,2028,6,6,2.4,12,14,CodeRed1
130,13,244,936,6,6,2.3,13,20,CodeRed1
85,20,170,1718,6,6,1.7,12,17,CodeRed1
93,6,186,38,6,6,1.6,15,12,CodeRed1
63,8,104,38,6,6,1.1,15,7,CodeRed1
114,7,307,56,5,6,2,16,6,CodeRed1
76,7,336,105,6,6,1.3,22,18,CodeRed1
105,6,479,61,6,6,1.8,10,12,CodeRed1
86,8,213,51,6,6,1.5,12,12,CodeRed1
93,4,193,18,6,6,1.6,12,10,CodeRed1
68,7,143,19,6,6,1.2,12,7,CodeRed1
76,7,385,43,6,6,1.3,10,12,CodeRed1
116,8,637,38,6,6,2,12,20,CodeRed1
159,8,355,71,6,6,2.7,17,18,CodeRed1
174,8,306,77,6,6,3,14,12,CodeRed1
118,5,263,28,6,6,2,22,6,CodeRed1
88,6,255,56,6,6,1.5,10,8,CodeRed1
101,6,289,58,6,6,1.7,22,8,CodeRed1
137,8,425,59,6,6,2.4,10,15,CodeRed1
86,8,237,74,6,6,1.5,10,8,CodeRed1
108,6,480,50,6,6,1.9,11,16,CodeRed1
120,5,635,45,6,6,2,12,25,CodeRed1
78,9,282,96,6,6,1.4,10,12,CodeRed1
156,8,371,35,6,6,2.7,12,17,CodeRed1
217,8,1208,47,6,6,3.7,15,26,CodeRed1
215,7,1200,45,6,6,3.7,14,26,CodeRed1
78,6,164,27,6,6,1.4,13,13,CodeRed1
199,9,436,172,6,7,3.4,13,21,CodeRed1
92,7,167,96,6,6,1.6,10,8,CodeRed1
113,8,237,46,6,6,2,12,27,CodeRed1
110,6,345,138,6,6,1.9,13,16,CodeRed1
128,8,356,58,6,6,2.2,12,23,CodeRed1
142,9,528,52,6,6,2.5,17,26,CodeRed1
170,6,1049,76,6,6,2.9,13,32,CodeRed1
104,8,273,40,6,6,1.8,12,19,CodeRed1
92,6,162,37,6,6,1.6,22,15,CodeRed1
111,6,286,75,6,6,1.9,11,14,CodeRed1
71,6,195,39,6,6,1.2,10,8,CodeRed1
93,8,220,31,6,6,1.6,11,9,CodeRed1
71,6,131,30,6,6,1.2,11,11,CodeRed1
113,8,211,82,6,6,2,12,11,CodeRed1
88,7,267,29,6,6,1.5,13,8,CodeRed1
112,6,363,39,6,6,1.9,12,17,CodeRed1
99,9,310,41,6,6,1.8,14,10,CodeRed1
99,6,417,32,6,6,1.7,12,17,CodeRed1
102,5,251,31,6,6,1.7,13,14,CodeRed1
148,6,334,35,6,6,2.5,13,8,CodeRed1
342,6,1929,33,8,8,5.8,17,42,CodeRed1
420,8,2364,76,9,9,7.1,19,72,CodeRed1
142,7,428,85,6,6,2.4,17,16,CodeRed1
169,8,500,132,6,6,2.9,12,23,CodeRed1
410,10,1845,274,7,7,700,17,62,CodeRed1
222,9,978,149,7,7,3.8,20,41,CodeRed1
105,9,428,308,9,8,1.9,20,17,CodeRed1
299,7,1137,194,5,6,5.1,11,39,CodeRed1
114,8,451,56,6,6,2,11,26,CodeRed1
139,10,443,112,6,6,2.4,10,27,CodeRed1
114,7,400,71,6,6,2,14,14,CodeRed1
179,6,552,144,7,7,3,13,25,CodeRed1
165,8,603,149,7,7,2.8,12,19,CodeRed1
279,9,865,154,7,7,4.8,14,25,CodeRed1
156,7,697,53,6,6,2.7,12,14,CodeRed1
210,8,1466,152,6,6,3.6,13,41,CodeRed1
195,8,1126,54,6,6,3.3,10,46,CodeRed1
150,8,519,95,6,6,2.6,11,18,CodeRed1
171,8,503,88,6,6,2.9,12,32,CodeRed1
207,10,759,149,6,6,3.6,11,42,CodeRed1
152,7,389,59,6,6,2.6,14,13,CodeRed1
187,7,425,120,6,6,3.2,13,21,CodeRed1
174,7,420,94,6,6,3,15,27,CodeRed1
122,7,458,112,6,6,2.1,11,22,CodeRed1
166,6,852,168,6,6,2.8,10,21,CodeRed1
227,8,673,261,7,7,3.9,14,18,CodeRed1
218,7,546,177,6,6,3.7,13,18,CodeRed1
155,8,392,91,6,6,2.7,9,17,CodeRed1
98,6,340,34,5,5,1.7,10,11,CodeRed1
150,8,443,70,6,6,2.6,9,17,CodeRed1
291,8,1584,103,6,6,4.9,11,32,CodeRed1
309,6,1441,107,6,6,5.2,10,28,CodeRed1
227,8,556,57,6,6,3.9,15,25,CodeRed1
174,7,568,56,6,6,3,14,17,CodeRed1
152,8,378,144,6,6,2.6,13,9,CodeRed1
200,9,586,129,6,6,3.4,13,10,CodeRed1
224,8,590,163,6,6,3.8,13,16,CodeRed1
191,7,499,106,6,6,3.3,13,18,CodeRed1
163,7,408,133,6,6,2.8,14,20,CodeRed1
153,7,349,184,6,6,2.6,16,18,CodeRed1
252,6,868,137,7,7,4.3,11,25,CodeRed1
446,9,2534,415,6,6,7.5,14,30,CodeRed1
141,6,547,101,6,6,2.4,12,10,CodeRed1
152,8,560,91,6,6,2.6,13,9,CodeRed1
100,5,283,74,6,6,1.7,14,6,CodeRed1
134,7,374,132,6,6,2.3,14,8,CodeRed1
168,8,692,164,6,6,2.9,16,18,CodeRed1
176,8,599,140,6,6,3,13,13,CodeRed1
497,8,1878,287,6,6,8.4,11,13,CodeRed1
283,8,831,156,6,7,4.8,14,23,CodeRed1
521,8,1965,196,6,6,8.8,13,26,CodeRed1
201,7,529,64,6,6,3.4,15,13,CodeRed1
178,7,718,54,7,7,3,13,16,CodeRed1
200,9,581,58,7,6,3.4,16,22,CodeRed1
147,7,375,59,6,6,2.5,11,6,CodeRed1
107,6,279,41,5,5,1.8,11,5,CodeRed1
134,7,710,48,6,6,2.3,16,22,CodeRed1
155,7,604,95,6,6,2.7,12,22,CodeRed1
161,8,669,63,6,6,2.8,11,21,CodeRed1
173,9,492,246,6,6,3,13,25,CodeRed1
218,8,714,69,6,6,3.7,16,32,CodeRed1
180,6,553,355,6,6,3.1,16,18,CodeRed1
152,6,499,99,6,6,2.6,15,10,CodeRed1
178,6,610,205,6,6,3,18,21,CodeRed1
119,8,403,170,6,6,2.1,19,7,CodeRed1
139,6,454,85,6,6,2.4,10,12,CodeRed1
228,9,771,140,6,6,3.9,14,30,CodeRed1
168,7,479,38,6,6,2.9,12,28,CodeRed1
196,9,572,144,7,7,3.4,12,25,CodeRed1
223,7,689,182,6,7,3.8,11,26,CodeRed1
211,7,674,88,6,6,3.6,13,23,CodeRed1
128,7,363,69,6,6,2.2,12,15,CodeRed1
137,7,423,82,6,6,2.4,11,13,CodeRed1
194,7,541,133,6,6,3.3,17,17,CodeRed1
148,7,581,119,6,6,2.5,10,9,CodeRed1
256,9,911,60,6,6,4.4,10,21,CodeRed1
207,5,546,15,6,6,3.5,14,26,CodeRed1
146,5,473,72,6,6,2.5,14,20,CodeRed1
178,10,493,255,6,6,3.1,13,18,CodeRed1
116,7,227,83,7,7,2,15,18,CodeRed1
151,7,457,66,6,6,2.6,16,12,CodeRed1
171,5,413,83,6,6,2.9,14,16,CodeRed1
242,8,871,156,6,7,4.1,16,31,CodeRed1
226,7,662,95,6,6,3.8,12,9,CodeRed1
192,6,718,127,6,6,3.3,13,8,CodeRed1
166,7,854,90,6,6,2.8,13,17,CodeRed1
257,9,1018,126,6,6,4.4,13,21,CodeRed1
187,4,861,84,6,6,3.1,14,24,CodeRed1
171,5,538,36,6,6,2.9,17,17,CodeRed1
201,9,603,148,6,6,3.5,12,26,CodeRed1
266,7,758,88,6,6,4.5,10,29,CodeRed1
150,7,387,63,7,7,2.6,13,24,CodeRed1
178,7,419,55,6,6,3,12,18,CodeRed1
239,7,954,122,6,6,4.1,14,26,CodeRed1
273,8,694,329,6,6,4.6,14,20,CodeRed1
208,7,1155,125,6,6,3.5,16,25,CodeRed1
721,7,2369,89,6,6,12,16,30,CodeRed1
421,7,1544,127,6,6,7.1,11,21,CodeRed1
392,14,1339,1047,6,6,6.7,14,33,CodeRed1
538,7,2076,159,6,6,9,11,33,CodeRed1
371,7,1155,249,6,6,6.3,13,33,CodeRed1
164,8,620,148,6,6,2.8,16,18,CodeRed1
208,7,528,77,6,6,3.5,12,30,CodeRed1
229,8,612,142,6,6,3.9,10,24,CodeRed1
277,7,530,62,5,5,4.7,10,21,CodeRed1
274,8,688,98,6,6,4.7,16,26,CodeRed1
174,6,445,37,6,6,300,13,27,CodeRed1
174,7,457,230,6,6,3,11,26,CodeRed1
245,5,1168,119,6,7,4.1,12,38,CodeRed1
148,7,717,98,6,6,2.5,15,28,CodeRed1
222,9,632,133,6,6,3.8,16,16,CodeRed1
212,9,616,182,6,6,3.6,15,13,CodeRed1
192,6,744,206,6,6,3.3,12,25,CodeRed1
186,8,662,85,6,6,3.2,13,29,CodeRed1
230,7,474,243,6,6,3.9,13,32,CodeRed1
319,8,913,142,7,7,5.4,12,28,CodeRed1
207,8,694,102,6,6,3.5,12,23,CodeRed1
296,9,801,94,6,6,5,13,35,CodeRed1
229,8,672,93,7,7,3.9,16,33,CodeRed1
246,7,678,72,7,7,4.2,16,28,CodeRed1
193,6,664,91,6,7,3.3,15,19,CodeRed1
146,5,438,50,6,6,2.5,15,14,CodeRed1
182,7,582,71,6,6,3.1,14,19,CodeRed1
188,10,523,70,6,6,3.3,14,23,CodeRed1
271,5,625,163,6,7,4.6,13,31,CodeRed1
188,7,629,140,6,6,3.2,12,17,CodeRed1
243,6,755,71,5,5,4.1,10,13,CodeRed1
210,7,771,63,5,6,3.6,11,16,CodeRed1
216,8,1006,67,5,5,3.7,12,13,CodeRed1
189,7,773,117,5,5,3.2,11,16,CodeRed1
194,9,536,76,6,6,3.3,11,20,CodeRed1
216,7,574,94,6,6,3.7,14,15,CodeRed1
228,8,627,57,6,6,3.9,16,24,CodeRed1
243,7,829,105,6,6,4.1,13,27,CodeRed1
227,9,602,188,6,6,3.9,13,22,CodeRed1
206,8,480,124,7,7,3.5,11,26,CodeRed1
210,8,641,99,6,6,3.6,11,15,CodeRed1
188,7,459,37,6,6,3.2,13,19,CodeRed1
144,6,498,42,6,6,2.5,11,15,CodeRed1
186,8,703,129,6,6,3.2,13,12,CodeRed1
263,9,1032,174,6,6,4.5,13,22,CodeRed1
259,6,1141,88,6,6,4.4,13,24,CodeRed1
187,7,554,177,6,6,3.2,14,24,CodeRed1
267,9,577,201,6,6,4.6,13,27,CodeRed1
225,9,692,125,7,7,3.9,15,30,CodeRed1
250,8,568,33,6,6,4.3,13,21,CodeRed1
309,8,1184,199,6,6,5.2,12,17,CodeRed1
265,8,750,162,6,6,4.5,14,18,CodeRed1
216,6,637,95,6,6,3.7,16,27,CodeRed1
199,8,644,92,6,6,3.4,13,28,CodeRed1
181,9,522,105,6,6,3.1,15,26,CodeRed1
129,4,461,27,6,6,2.2,13,13,CodeRed1
212,6,825,67,6,6,3.6,12,19,CodeRed1
160,8,293,49,6,6,2.8,11,15,CodeRed1
252,8,764,139,6,6,4.3,12,27,CodeRed1
164,5,486,95,6,6,2.8,13,22,CodeRed1
204,8,552,75,6,6,3.5,12,22,CodeRed1
127,7,256,34,6,7,2.2,16,10,CodeRed1
200,7,415,73,6,6,3.4,15,20,CodeRed1
353,7,1296,102,6,6,600,12,29,CodeRed1
255,8,680,140,6,6,4.3,14,33,CodeRed1
152,5,508,44,6,6,2.6,11,22,CodeRed1
221,10,847,307,6,6,3.8,11,17,CodeRed1
265,6,957,82,6,6,4.5,12,24,CodeRed1
260,9,598,187,6,6,4.4,12,34,CodeRed1
313,6,1201,387,6,6,5.3,16,45,CodeRed1
548,8,2101,87,6,6,9.2,12,43,CodeRed1
703,7,2524,69,6,6,11,12,23,CodeRed1
257,9,1435,206,6,6,4.4,12,31,CodeRed1
247,7,1347,173,6,6,4.2,12,21,CodeRed1
240,8,1333,94,6,6,4.1,14,30,CodeRed1
317,6,1631,145,6,6,5.3,15,33,CodeRed1
231,8,1038,280,6,6,3.9,15,19,CodeRed1
226,7,679,165,6,6,3.8,16,19,CodeRed1
278,8,849,175,6,6,4.7,17,25,CodeRed1
209,7,755,57,6,6,3.6,17,14,CodeRed1
308,6,1700,53,6,6,5.2,10,23,CodeRed1
1005,9,3842,201,6,6,16,11,36,CodeRed1
353,8,1232,231,6,7,6,12,41,CodeRed1
263,8,874,172,6,6,4.5,15,31,CodeRed1
223,8,536,168,6,6,3.8,14,36,CodeRed1
640,6,2230,58,6,6,10,11,29,CodeRed1
679,6,2566,39,6,6,11,13,32,CodeRed1
365,11,1291,753,6,6,6.2,11,20,CodeRed1
449,10,1674,300,6,6,7.6,14,24,CodeRed1
254,9,783,470,6,6,4.3,12,22,CodeRed1
218,10,645,141,6,6,3.8,12,15,CodeRed1
301,7,1110,211,7,7,5.1,12,7,CodeRed1
315,7,778,143,7,7,5.3,13,22,CodeRed1
264,7,651,131,7,7,4.5,16,12,CodeRed1
216,6,522,76,6,6,3.7,10,19,CodeRed1
283,12,1216,677,6,6,4.9,11,29,CodeRed1
269,11,1002,455,7,7,4.6,12,34,CodeRed1
203,10,562,297,6,6,3.5,11,22,CodeRed1
191,7,598,167,5,6,3.3,12,25,CodeRed1
228,9,800,181,6,6,3.9,14,23,CodeRed1
198,7,715,63,6,6,3.4,14,20,CodeRed1
300,7,1057,48,6,6,5.1,10,11,CodeRed1
251,8,641,91,6,6,4.3,10,19,CodeRed1
217,7,505,150,7,7,3.7,13,29,CodeRed1
187,8,594,93,6,6,3.2,12,13,CodeRed1
191,8,869,90,6,6,3.3,10,22,CodeRed1
720,8,2790,126,7,7,12,17,25,CodeRed1
279,9,803,192,6,6,4.8,12,22,CodeRed1
245,8,755,113,7,7,4.2,13,23,CodeRed1
159,7,387,64,6,6,2.7,11,16,CodeRed1
245,8,491,89,6,6,4.2,12,17,CodeRed1
219,8,459,92,6,6,3.7,13,13,CodeRed1
208,5,776,96,6,6,3.5,11,10,CodeRed1
478,7,1775,53,5,5,8,11,15,CodeRed1
215,8,707,308,6,6,3.7,13,23,CodeRed1
217,7,555,93,6,6,3.7,11,30,CodeRed1
590,8,1908,156,6,6,9.9,12,21,CodeRed1
521,7,1612,195,6,6,8.8,11,27,CodeRed1
446,15,1389,1089,7,7,7.6,14,30,CodeRed1
427,9,1466,114,7,7,7.2,13,49,CodeRed1
475,7,1988,237,6,6,8,12,31,CodeRed1
634,8,2807,266,6,6,10,11,34,CodeRed1
205,7,833,71,6,6,3.5,11,30,CodeRed1
127,5,344,47,6,6,2.2,13,12,CodeRed1
253,8,555,60,8,7,4.3,15,40,CodeRed1
264,5,985,298,6,6,4.4,17,30,CodeRed1
628,5,2639,58,6,6,10,13,21,CodeRed1
311,9,1049,339,6,6,5.3,11,15,CodeRed1
192,8,793,173,6,6,3.3,12,6,CodeRed1
327,8,1043,182,6,6,5.5,16,33,CodeRed1
241,8,1089,157,6,6,4.1,13,27,CodeRed1
685,7,2731,102,6,6,11,13,41,CodeRed1
548,9,2168,274,7,7,9.2,13,35,CodeRed1
272,8,1333,198,6,7,4.6,11,26,CodeRed1
203,9,889,127,6,6,3.5,11,25,CodeRed1
170,9,478,131,6,6,2.9,10,7,CodeRed1
474,10,1246,303,6,6,8,13,22,CodeRed1
316,7,860,85,6,6,5.3,12,30,CodeRed1
441,8,1311,166,7,7,7.4,16,41,CodeRed1
338,8,1022,204,6,6,5.7,14,19,CodeRed1
218,9,850,187,6,6,3.7,11,19,CodeRed1
272,6,1289,180,6,6,4.6,14,16,CodeRed1
208,8,701,182,6,6,3.6,15,5,CodeRed1
323,7,1524,188,6,6,5.5,14,23,CodeRed1
292,10,1244,381,6,6,5,12,17,CodeRed1
239,7,771,158,6,6,4.1,10,29,CodeRed1
156,9,650,125,6,6,2.7,10,17,CodeRed1
202,8,677,86,6,6,3.5,11,18,CodeRed1
252,9,618,119,6,6,4.3,14,22,CodeRed1
199,7,826,317,6,6,3.4,11,18,CodeRed1
323,6,1179,173,6,6,5.4,13,17,CodeRed1
277,6,1074,161,6,6,4.7,15,21,CodeRed1
239,8,758,283,6,6,4.1,13,25,CodeRed1
147,7,489,123,6,6,2.5,11,12,CodeRed1
147,7,454,84,6,6,2.5,10,11,CodeRed1
254,8,795,156,6,6,4.3,11,32,CodeRed1
231,8,787,200,6,6,3.9,12,24,CodeRed1
149,7,693,114,6,6,2.6,11,10,CodeRed1
622,9,2711,73,6,6,10,14,36,CodeRed1
280,6,1072,118,6,6,4.7,18,24,CodeRed1
224,6,1358,102,6,6,3.8,18,30,CodeRed1
264,8,808,175,7,6,4.5,20,41,CodeRed1
388,9,1301,129,6,6,6.6,15,27,CodeRed1
258,10,651,132,6,6,4.4,14,31,CodeRed1
296,10,886,159,6,6,5.1,13,38,CodeRed1
276,8,749,125,6,6,4.7,12,36,CodeRed1
178,7,534,84,6,6,3,11,22,CodeRed1
209,7,605,217,6,6,3.6,14,26,CodeRed1
744,7,2835,180,6,6,12,13,33,CodeRed1
437,11,1537,505,6,6,7.4,12,36,CodeRed1
203,8,662,185,6,6,3.5,12,21,CodeRed1
229,8,781,159,6,6,3.9,12,27,CodeRed1
242,8,769,151,6,6,4.1,13,30,CodeRed1
217,8,709,97,6,6,3.7,15,26,CodeRed1
175,7,464,141,6,6,3,13,32,CodeRed1
240,9,587,72,6,6,4.1,13,40,CodeRed1
216,9,414,68,6,6,3.7,15,28,CodeRed1
199,6,603,76,6,6,3.4,17,34,CodeRed1
194,9,904,104,6,6,3.3,12,17,CodeRed1
708,7,2776,137,6,6,11,10,20,CodeRed1
379,8,1297,148,6,6,6.4,12,28,CodeRed1
147,10,514,555,6,6,2.6,16,19,CodeRed1
259,7,1909,104,6,6,4.4,14,63,CodeRed1
323,8,2136,111,6,6,5.5,14,70,CodeRed1
259,8,1094,77,6,6,4.4,11,22,CodeRed1
297,9,775,85,6,6,5.1,14,20,CodeRed1
292,8,795,94,7,7,500,16,49,CodeRed1
250,8,665,69,6,6,4.3,14,22,CodeRed1
232,9,496,160,6,6,4,17,16,CodeRed1
236,8,707,67,6,6,4,15,19,CodeRed1
210,7,549,101,6,6,3.6,11,24,CodeRed1
199,9,659,138,6,6,3.4,12,19,CodeRed1
249,6,1163,99,6,6,4.2,10,36,CodeRed1
265,8,800,136,6,6,4.5,11,24,CodeRed1
145,6,441,98,5,5,2.5,11,15,CodeRed1
223,10,665,125,6,6,3.8,16,32,CodeRed1
227,8,874,166,5,5,3.9,13,33,CodeRed1
179,6,690,163,6,6,3,13,28,CodeRed1
235,6,863,120,6,6,4,11,35,CodeRed1
498,9,2211,108,6,6,8.4,15,52,CodeRed1
173,7,467,37,5,5,300,10,22,CodeRed1
177,8,381,71,6,6,3,11,19,CodeRed1
251,7,996,75,6,6,4.3,15,24,CodeRed1
291,10,1024,186,6,6,5,14,27,CodeRed1
183,7,665,132,6,6,3.1,12,10,CodeRed1
126,8,795,90,6,6,2.2,13,16,CodeRed1
244,8,895,127,6,6,4.2,16,25,CodeRed1
355,7,1545,124,6,6,6,14,36,CodeRed1
502,6,3006,100,6,6,8.4,11,91,CodeRed1
260,6,1485,100,6,6,4.4,12,37,CodeRed1
212,8,953,108,6,6,3.6,16,18,CodeRed1
248,8,1509,174,6,6,4.2,11,16,CodeRed1
328,8,875,131,6,6,5.6,14,19,CodeRed1
421,7,1119,85,6,6,7.1,14,26,CodeRed1
304,7,981,146,6,6,5.1,14,29,CodeRed1
232,8,955,178,6,6,400,12,18,CodeRed1
248,7,747,76,6,6,4.2,16,27,CodeRed1
245,8,700,161,5,5,4.2,16,27,CodeRed1
266,8,1293,275,6,6,4.5,12,20,CodeRed1
351,9,1264,167,6,6,600,14,33,CodeRed1
325,7,1346,211,6,6,5.5,14,33,CodeRed1
220,6,575,86,6,6,3.7,13,35,CodeRed1
586,7,1977,305,6,6,9.8,16,25,CodeRed1
794,7,3211,117,6,6,13,13,47,CodeRed1
446,9,1556,90,6,6,7.5,12,36,CodeRed1
162,8,523,32,6,6,2.8,12,22,CodeRed1
128,7,272,110,6,6,2.2,12,30,CodeRed1
253,7,1284,177,6,6,4.3,19,36,CodeRed1
169,8,626,87,6,6,2.9,20,14,CodeRed1
112,6,232,62,6,6,1.9,12,12,CodeRed1
145,8,314,86,6,6,2.5,13,12,CodeRed1
241,7,1289,87,6,6,4.1,11,44,CodeRed1
282,14,1634,932,6,6,4.9,12,60,CodeRed1
213,11,1304,713,6,6,3.7,10,16,CodeRed1
236,8,1113,120,6,6,4,14,33,CodeRed1
303,6,1833,89,6,6,5.1,16,72,CodeRed1
114,7,350,172,6,6,2,9,13,CodeRed1
157,8,475,113,6,6,2.7,9,17,CodeRed1
185,6,353,37,6,6,3.1,10,18,CodeRed1
194,9,420,132,6,6,3.3,13,16,CodeRed1
166,7,359,89,6,6,2.8,13,6,CodeRed1
145,7,446,89,6,6,2.5,16,9,CodeRed1
169,8,539,186,7,7,2.9,12,14,CodeRed1
212,9,678,183,6,6,3.6,13,14,CodeRed1
178,8,490,170,6,6,3.1,16,9,CodeRed1
142,8,417,120,6,6,2.5,10,7,CodeRed1
230,6,659,177,6,6,3.9,14,21,CodeRed1
232,8,626,202,6,6,400,10,28,CodeRed1
229,9,890,177,6,6,3.9,16,34,CodeRed1
176,8,490,170,6,6,3,16,19,CodeRed1
192,8,528,133,6,6,3.3,11,16,CodeRed1
463,9,3353,125,6,6,7.8,15,105,CodeRed1
263,13,1412,972,6,6,4.6,15,32,CodeRed1
